index,target
25014,12
707,30
25518,12
24434,19
21421,
22257,1
9427,1
20693,30
23772,0
24236,1 8
20550,1 35
4475,0
17632,1
19635,12
35,1 8
27016,18
26992,12
27002,18
25974,15
24688,12 28
26787,21
1670,0 30
17833,2 28 30
18389,0 12 15
23274,19
25276,12 43
26565,28 29
10743,27 30
19238,27
24174,
23599,0
22189,
17201,19
22699,19
16777,3
8784,0 12
19292,2 35
2137,16
20933,18
21662,19
15030,27 40
24980,19
23717,3
7226,8
26710,2 3
15535,
9770,0
11915,15 27 30
21999,28 29
673,2 36
11520,1 27
22277,0 2 37
34,12 28
26111,27
11840,
20462,16
20724,2
21643,28
24759,12
23240,2 4
16707,0 2
21737,12 27 28
17769,0
16185,28
17608,
25397,12
27039,18
21473,19
17355,22 23
23724,0
13318,21
4138,2
12902,0 8
20396,2
21352,
11160,0 2 4
10740,30
9382,12 28
23805,0
20878,
8299,19
22217,19
17695,0
25617,12 27
25148,16
24176,1
12337,8
17953,1
2768,19
10779,0
5219,0 30
20808,2
25986,15
21918,12 28
5665,
18488,14 27 30
26583,
23434,0 2
23058,7
25614,27
22626,19
19911,48
18638,16 33
13853,0
25705,3 15 28
16898,2 4
17335,16 33
415,1 28 36
19919,11 27
24752,0 8 12 36
14392,12
20886,
13764,0 2
352,0
13292,1 27
17102,2
20949,5
1119,1 2 12 36
13609,0 12
23034,16 38
20560,0
1837,12
9221,18
662,20
25094,11
21688,19
21840,2 28 36
21613,19
14294,2 12 28
10857,2 3
1213,
15373,2 37
21032,30
2331,1
16175,30
20477,2
20697,2
15845,3 11 30
18542,2
7976,12 27
23693,0
12274,10
25538,12
23816,1
22484,1
23719,2
9900,0
25446,12
6386,28
13809,14 27 30
6281,12
22860,1 36
11418,16
17254,
13714,0 2 30
14525,1
19804,11
17314,0 14 28
24055,0
17120,23
14624,0
5411,1 28
23071,1
15693,12 28
2867,16
25942,16 36
14252,12
8028,2
5791,2
812,19
18600,12
17511,30 42
17,2
7783,8 10
23050,0 30
8048,0 12 28
25248,8
22964,0 3
23608,
16904,12 27 28 43
24106,1
19775,48
21217,
25406,12 36
26374,27
26759,23
3691,0 2
1941,1 8 10
25656,12 27
1335,2 12
26063,19
20925,40
10180,28
1012,
10130,3 28
19418,0 12 27
22820,2 3 30
21501,21
20467,0 2
10380,19
3494,1 2 30
8101,16 27 28
22107,18
25990,11
10975,27
25717,16
26526,18
11626,1
22866,3 27
23827,1
6629,12
9870,48
1786,16
26514,18
548,18
13175,
26993,30
2881,12 23
23776,
735,1 12 36
11521,1 2
7352,8
23951,0
21081,19
23065,0
26834,0
25867,8 12
21533,19
4332,1 27
23558,0
15022,16
13622,
22294,0
6828,1
24736,12 28
15174,20
10958,15 28
14089,16 27
5601,1
23970,8
14994,0
11254,1
9246,27 28 30
23742,2
23980,1
23828,3
4123,0
7372,0 37
24036,2
2622,1 28 30
12663,2 30 37
18918,12
3380,28 43
404,1 36
25695,2 14 27 28
25283,12 36
9681,1 35
22978,2
26072,12
15332,18
25512,19
20034,2
15883,12
17336,12 28
2212,18
26045,11 15
11181,
25086,19
15164,3 4 16
17782,21
11039,16
24449,45
26849,19
9740,
26051,27
16342,27
24424,11
15029,0 30
25594,27
23865,0
15275,12 28
22861,14 27 30
14385,3 12
16280,3 27
15744,3 11 27
6084,16
20258,28
23702,23
17809,
3500,2 3 27
21470,
21700,27
82,0 2
17931,20
143,23 28
12565,12 27 43
6606,3
23576,0 14
1872,0
14627,8 10 12 28
26777,39
20413,0
24699,12
20777,3
24353,3
585,12 27
23872,1
3790,12 23 28
26500,11
26126,16 27
21465,12
23387,0 30
20102,2 4 16 27 28
19220,2 4
23741,3
24622,12
15781,19
25212,8 10
26218,27
13799,28
25608,27 40
21866,
25805,21
6970,12
2888,0
26288,27 40
24499,12
18063,19
7900,0
26723,18
24529,12
22435,
26592,3 23
25438,12
18806,16
23900,2
22968,2
6692,27
17387,12 27
19940,0 2
21958,19
19540,0 8 30
22376,19
23744,
2642,10
19871,3
12279,27
7341,12
22530,4
295,1 12
22945,0
12700,1 12
3225,3
25857,11
908,1
20764,0 2
22221,
11400,29
26644,8 36
15584,2
2369,0
5971,21
21539,19
13562,2
25153,19
18431,28
21637,28
8418,19
7503,2
26613,28 30
25030,12 28 29
21237,19
15892,12
10347,27
26080,40
1182,30
16935,11
107,12 44
21598,28
21442,28
17310,0 28
25762,27 30
23570,2
26152,11
19435,16 33
11361,0
26743,18
21543,11
466,0
7322,0
24496,19
14528,12 27
26767,1
425,1 30
3084,
6359,0 2
4520,0
25048,20
25353,8
18176,19
15653,3 4
419,19
23803,
1820,
26569,12 27 28
24697,12
24470,39 48
5694,12
25429,
21635,12 27
7528,14 27
317,0
7354,3 28
6175,19
22466,2
22214,19
20728,7
20858,12
21945,1 3
21817,19
24088,18
19581,1 2 30
7662,2 16 27 28
8686,19
24983,19
24520,1 2
6474,8 10
26701,19
9632,12 27
3418,
8932,19 20
21318,28
25773,1
22857,1 2 27
8680,28
26619,2 3
16605,30
24744,1 2
23775,3
24335,0
18567,2
25432,12 42
11292,19
26024,
26586,
22105,
24558,19
21233,0 36
18259,5 28
24541,0
13997,1 2
26006,11
454,
405,
17773,2 4
15389,
19661,2
19353,2
13728,
1866,12 28
25535,12 36
21794,28
256,28 29 47
7200,2 4
591,2
24433,
566,
18562,2
15128,1 12
22714,1
21113,19
18729,10
24524,1 12
13749,8 10 12
18965,28
24764,8
4905,19
17977,0 3 12 36
25342,19
3270,44
23036,0 4 5
13164,2
20853,39
16386,12 28
8716,2
22601,19
11899,20
9528,19
7271,0
13953,2
23450,19
23605,0
20825,19
7959,0
22342,5
22176,42
25468,28
209,2
10252,0 2 4
26537,11
25413,12
11434,3 16
18156,27
8421,19
15755,
23432,2 4
189,0
24846,8 12
5264,15 27 40
18550,27 28
21977,20
23680,2
12158,12 28
10710,12 27
26028,11
25541,12
23898,1
2352,30
23292,1 36
584,
3262,2 3
12213,19
25410,12
24906,19 21
13666,
16532,12
86,19
3396,0
9828,12
19849,2 3
21530,21
23929,0 2
23933,1
23506,3
25326,12
24730,0 12
21152,8
4191,2 4
25210,0
4387,2 4
25178,1 12 23
24466,18
26801,0 30
3405,2 12
20899,2 4
23027,38
12482,19
12068,0 12
233,12 15
25333,0
22208,39
25494,12
24389,19
4067,16
11309,2 3 28
13543,0
23306,0 2
26884,
25808,
470,0
21095,28
21550,2 3
41,21
18305,16
15142,
25776,2 27
24367,2
20324,1 2
1663,11 27
26253,27
25026,12
19725,18 20
24565,12 28
6711,1 2
6944,2
20866,12 28
10189,2 3
25844,12 28
8801,38
17892,12 28
387,
11980,5
7777,0 2
22903,0 2
12114,0 2 3 12 30
19491,30
20736,3 30
25895,0
22112,28
15441,1 12
515,2 30
25926,12
23314,0 3
26136,27
26802,21
21218,12
9516,14 29 31
24741,3
8735,0
22591,19
21400,28
20553,2
25315,12
20623,0 28
4365,19
1363,30
11367,0
9345,2
25643,40
17299,4 5
23111,
2806,1 12
26262,
24124,0
24465,23
22683,20
26239,
14302,2 27 28
21123,12
21296,20
22174,26
7346,12 28
17751,
467,0 4 30
11526,21
4445,2 28
1846,1 27
2616,4 5
12640,2 16 30
17611,19 20
21558,3
5332,12
22837,0 2 14
9764,23 28
641,18
23830,0
22321,0
26896,30
15268,48
5550,2 4
22552,2 27
232,18
23341,0 12 14
8722,
22494,0 11
20289,19
19005,12
23391,2
13756,2 4 5
16857,3
1745,20
21234,12
9793,
23825,2
21510,0
8226,28
23508,16
3599,2
24131,3
25087,0 2
218,1 2
2283,0 2 28
8277,2
27031,28
25388,19
7610,35
22106,28
12968,30
22932,30
16513,0 2
18776,
21348,11
24250,2
10976,2 3
8266,0 2
160,19 20
26180,11
3725,12
20581,4
26856,1
13898,12 28 43
23615,0
22735,
19470,19
2993,16 33
5888,12
5024,
4310,12
25783,2
14847,12 23 28
8500,3 30 37
20583,0 12
21618,11
4635,36
4882,27
24829,2 12 36
21943,2 3
21136,12
199,1 28
17389,28
21355,27
10281,1 2
23546,14 16
18900,26
18085,0
21419,0
22643,0
25778,18
23099,0
13682,
5995,21
21604,27 29
22425,0
21310,19
13038,0
22877,14
25457,12
2084,19
8158,1
26473,27
5464,20
22734,1
986,18
24679,12
336,1 28
27025,30
25455,12
25251,30
22090,18
1461,19
13263,8 12
21599,30
24156,0 2
12660,0 30
23887,27
23340,2
24790,0 16
5590,12 27
13860,0 2
21422,28
15829,3 12
697,45
21346,27 48
9623,1
2647,36
672,0 14 27
3253,20
4327,11
23164,42
22636,16
8370,0 12
8388,
23470,
25056,28 36
14007,0 12
21975,
23802,2
26872,19
2855,0 2
22603,0
23935,0
25009,8
25817,27
23315,0
5378,3
20564,0
14707,18
877,18
16595,28 30
309,
26981,
2634,0 28
3,0 2
26428,27
23172,2
24027,0 4
20824,12
528,1
10598,1
733,4
13319,8
21776,27
21001,47
8410,0 12
377,2
24756,19 21
22366,2 3 28
16549,10
22040,28
19169,2
25192,12
4780,0 28
14661,4 16
25618,40
12675,14 16
25583,12 27 28 43
24550,12
4584,16
2942,1 2 8
13255,2 3 8
26547,
21497,19
21052,40
1358,0
2567,
3126,2
7166,28
24210,16
23812,3
23389,0 2
20867,28
21801,18
14611,1 8 10 12
22694,
5227,12 28
13198,0
8699,
25085,1 2
8227,12
23100,3 14
24197,2
21556,0
24538,21
21380,11
2332,2
20765,16 28
23445,0
23136,1
18793,12 23 28
24953,20
15780,12
8229,
22310,1 2
21249,12
25263,
22249,8
3644,30
26873,39
24561,0 12
12374,11 27
25266,19
274,12
19234,0 4
15548,12
21106,
26669,
22984,3
9557,0
10595,0 8
11753,0
378,16 30
1975,18
24188,19
5379,19
7700,0 3
22952,
21963,28
23604,0
20405,1
16612,3 37
1491,19
26094,30
7150,35
22935,16 44
26121,27 40
22577,12
18838,2 4
70,23
24083,0
11674,21
11914,26
11659,
13537,2 4
24877,28
10307,1 2
606,11 14 30
18531,4 5
12144,2
8976,2 4
11009,3
24738,28
700,30
2491,18
413,0 12 36
10378,35
8542,0
2353,0
20624,39
1299,
17919,2 30
7807,2
26763,
8619,
1834,19
22676,14 31
12652,1
23995,1
10026,1 12 27
6713,2
6221,5
24919,12
834,0
12905,2 3
23781,0 2
24031,0
17654,0
16215,2
12644,10
678,19
25577,2 12 28
25575,12
23751,0
21212,19
22681,2 12
23469,0 2
17601,0 1
4975,2 4
20554,2 4
25015,12
26840,2 4 5 30
23022,37
3474,28
9168,2 3
2786,30
24646,12
26020,11
6366,2
12774,35
25833,
23545,2 3
6721,
7499,1 8
22623,8 10
8525,8 10
25625,27
18178,12 27
20456,5
20797,5
21909,28
8099,27
12177,1
26785,2 37
3860,0
21961,0 30
25039,12
719,0 8
21426,20
20097,12 28 36
25204,12 16
25104,47
11823,0 2
3645,0 2 14 27
24104,2 4
16881,1 2
24026,1
20881,18
21989,
1898,16 23
19888,0 2
17618,12
11953,16 38
14177,12
18030,16
25458,12
24387,48
21583,0
20773,16
23163,3 30
9021,2
14014,19
25619,
22715,1 2
15692,12 28
14897,27
24924,19
8530,12
26487,12 27
23456,0
24041,0 2 4
481,28 36
10596,2 12 28 36
26540,11
22517,0
25074,0 35
21838,4 30
21309,28
1069,19
25348,12
23647,2 3
715,1 8
25726,19
26378,27 40
21197,8 10 12 28
12985,19
21509,19 20
19554,1 12
24734,0 1 2 12
15339,0
483,3
6675,30
15445,14 27
22563,2 3 8
13437,1 2
680,0 3
20904,3
8159,0
18845,30
176,1 27
16482,0 30
24668,12 28
24494,48
3357,5
8055,0
2817,3 14 30
25168,12
14738,31
19442,
26241,27 40
21939,28
7602,2
9827,18
14082,3
609,0
26724,19
3049,18
24306,1 2
21549,18
6363,28
9430,
22572,0 2 3
18076,26
204,27 28
16598,2
12962,3 12 23 28
22240,1 2
22491,8 10
17426,30
6097,
21575,1 12 28
17424,0 12 30 37
1947,
21859,0 12
24762,0
27006,21
4820,1 2
1232,20
9853,20
22069,
25078,12 28
25565,1
26318,
314,19
12989,28
8662,
20117,0
21226,12
26987,0
16641,27
22126,28
15205,19
7695,12 28
17454,2
26863,4 37
9388,0 2 3
24828,1 2 12 23 36
23472,32
21860,0
12009,12 27
24371,10
20719,1 35
15432,18
21395,2 15
10556,3
25707,15
24292,2 3
21379,19
25595,12 27 28
1426,2
14339,0 27
26933,27 30
21089,19
391,2
24392,0 30
13243,12
15409,0 28
26010,12
22689,0
7149,12 27
26123,27 40
16246,0
23121,2 14
7817,15
18633,2
418,1 2
24968,12
15660,44
10884,28
18086,16
19326,0
7920,0 28
787,12 27
26331,27
8355,10
11080,2 28 36
13142,0 2 35
1998,30
18753,1 8
22271,2 3 12 36
26456,27
2246,12 28
18805,2 27
22996,30
21339,29
11763,4
22815,1 30
24451,48
2812,2
25610,27
15894,12
24045,3
26899,11
16045,8 10
22657,2 3
23069,35
105,27
4540,20
10472,30
26984,19
14324,18
4748,1 2
18879,18
24606,
25181,12
25042,18
14496,
22831,3
10043,8
26793,30 48
5261,2 12
17031,2
4465,0
9386,19
689,0
2623,10 12 28
20142,0 12
2776,38
7201,
2241,28 29
24706,
9978,0
22428,16 30 48
25510,12
2750,2
5501,19
27012,27
22187,
3654,3 23 28 37
26255,11
25734,30
9506,16
26402,27
18749,2
24193,0 35
1116,16 30 38
21133,28
6865,27 28
17011,1 8 10
5403,
26237,27
19317,2 8 12
6141,0 2
21452,3
22021,28
1174,5
10865,2 3 28
22222,1 14 27
15086,2 30
15573,
26965,30
492,19
19920,0 30
20671,28
11175,
12232,16 30 38
1070,8 10
20807,0 36
25073,12 28
26629,0
16403,12
2267,3
19695,2
12273,0
51,0 12
24717,18
23419,30
22380,2 4
25257,12 36
23867,2 3 4
8747,1
24714,12
25379,19 20
26546,2 12
24795,0 12
3516,
11534,11
7600,27
212,0 2 30
18551,0 12
21167,12
15908,2
23130,16
16840,0 2
10183,1
21614,
293,5 41 42
12100,
59,12
6254,2 4
7537,1
23024,
11189,
506,28 29 36
24171,
4515,2 30
21846,0
21251,28
25362,12
21193,18
10377,3
8535,39
7447,16 38
26240,27
23560,2 4
20445,1
24453,26
10053,0 2
1990,15
24939,12 16
14741,2
14891,2
6103,1 2 4
24172,3
677,1 28
2005,27
12397,0 27
24786,3 27
6982,28
22555,0 2
23837,0
19309,
17316,0 2
21960,27
5312,0 27 30
25234,19
11576,0
21468,2 28 30
22071,27 28
26184,8
1343,3 27
3928,0
21368,2
25387,19
9393,19
21002,28 30
7240,30
23937,19
25445,19
349,1 2
13313,2
18846,2
23080,19
10256,
16359,12
23230,16
18002,20
73,8
12900,2 4
7732,18
25194,8
16709,2 12
23002,0
24127,1
12937,3
24971,20 27
3353,1
14623,2 30
14684,11 27
9560,19
14985,12
6599,0 8 12
26954,30
23276,2 3
20295,30
4610,0 12
1040,0
22147,2
11958,0 30
7330,27
19215,8 10
22999,30
15544,18
17137,8
14728,4
25242,8 12
6524,
25434,18
3038,12
26662,20
13480,28
21861,
22444,0
25731,1 27
21919,28
12709,11
26478,
9338,21
10340,28
6230,0
23153,2
7433,30
26972,2 4 30
10931,0 1
25166,
15451,12 36
11789,35
19457,1 30
11805,12
11524,27 30
18656,2 11
9734,2
24608,18
26222,19
22306,2
25585,27
24938,0 2
12054,19
18540,1
6864,19
26676,12
24653,12 36
18454,15
12186,1
6083,15
6186,
16418,
1375,1 12 27
23090,
1882,8 10
26208,3 27
16535,
26058,27 36
21962,23 28
3317,1 27
614,0 1
11655,1
23578,16
2089,
23921,2 35
23485,3 4
12157,
10833,0 30
5691,
25921,0 12 27
8252,16
22441,0
1741,0 28
22434,
7195,0 27
10644,18
21023,41 47
7710,1 28 36
12509,0 14
23060,0 3
6581,
4846,8
7847,12 36
13116,18
8129,8
22940,0 30
15538,20
9405,0 2 4
2100,12
25050,16 36 43
13393,27
5483,26
16349,0 28
20458,0 2
23743,0
22802,
2386,
5758,11
6040,19
12672,
19782,19
9603,2 30
2696,0 2
15306,0 37
17139,
16545,
5093,0 30
21263,2
23924,0
26337,27
25711,27
22727,0
23161,0 1 30
21407,1 15
26496,15
25943,2 12 36
26296,27 40
3700,2
7539,3 16
15364,0
24419,10
24525,18 20
23651,
15637,28
25378,12
20585,2
13052,16
23885,0
18187,23 28
26633,
25748,3 27 30
26810,4
4127,27
11613,0
24418,45
10361,18 43
25356,19
25753,21
26390,14 27
19522,19
1100,8
17353,
14742,
22906,16 30
18252,
15185,19
22954,38
21668,12 28 43
23795,0
24103,0 16
24220,28
26397,27
13381,0 12 27
12871,20
24960,8
23912,1
14542,1 36
21621,0 35
24680,28 29
22547,1 3
1964,20
24189,0 16
20632,
22398,1
21620,
2701,2
14048,12
20710,18
7891,1 8
25314,22
22496,12 15
25533,12
21528,19 21
23222,0 2 35
10802,0 36
14540,8 10 12
19067,12 28
24110,2
412,12
7256,3
22845,19
22763,3 27 28
15454,2
24136,1 2
18154,18
26869,1
24166,5
18724,10
7637,2
10070,4
400,0 3
23375,0
19860,4 5 16
20629,2 42
200,19
27019,18
5072,0
20782,3
24659,12 28
154,27
463,
21279,12
26392,
26422,11
23703,2
2523,19
19012,0
22512,0
19136,
25419,
19622,28
6342,2
9082,0 37
25780,0 1 15
5359,28
26567,23
4556,12 14 27
24388,
26911,
19324,28
23217,0
16839,30
24928,12
12610,18 20
18408,2
6561,16 33
26698,19
2952,
8978,
4742,21
10788,0
17375,19
19130,28 43
21409,21
14495,20
5190,12
20492,2
9763,15
1774,19
11603,2 3
6266,12 27
21994,28 29
702,14
21118,12 23 28 30
16181,1 36
15799,0
10194,2
97,27
14554,16
5823,
22847,3 28
24715,19
8597,2 3 30
20794,
23642,2
20408,
16389,0 30
23722,0
25966,18
9523,12
26234,27
13385,19
5932,0
26536,18
24661,12
422,2 27
24935,0
4778,12 43
8925,0
24429,8 10
18988,1 2
2685,14
8160,2
24185,1
21915,18
26734,0
21532,19
9159,28
7560,0
26647,26
24229,1 2
23712,21
2572,0 12
1779,16
22045,28
26355,
24777,
25626,27
628,12
2380,27
26261,27
26481,
12687,23
22203,42
2852,0 27
25013,
18091,0 40
24802,0
21493,19
25054,10 12 28
10593,0
22233,8
21825,44
24484,19
24569,48
16849,8
15581,27 28
23174,0 16
22166,19
22526,1 2 30
3873,1
24733,12 28
19384,1
2239,19
6157,2
20475,2
23444,0
27011,2
75,15 27 40
22963,3
18967,0 1 27
25125,0
20243,0
2901,11 27
17166,3
6012,12 29
23223,2
26568,28
5388,0
24840,0 12
23119,30
21367,3 27 30
9610,0 12 16 36
21878,8 28 29
24479,
4845,27
8982,1 36
5737,0 30
24685,12 36
20225,28
167,19
6758,2 3
3390,1
522,0
23435,1
22778,2 3
334,1
3561,1 3
16485,12 28
9266,3
22265,3
26729,36
21971,28
13664,21
22587,0
22971,2
23227,2 30
7740,1
26249,14
26223,15
26265,14
3170,16
17363,28
21286,28
10270,18
25868,11
583,19
1924,
22493,1
19584,2 8 12
22702,0 4
25630,27
23405,0
24092,0
15129,
433,1
653,36 38
26418,11
26957,30 37
18141,0 2
10568,2
21757,27
26356,11 27
2381,0 30
17109,0
21931,30
330,2 30
21710,27
2373,0 2 4
2256,28
9229,20
18901,0 12 28 29
18461,12
9712,2
19738,1
16736,28
21593,11
6709,38
9584,2 12
5243,18
24066,1
22858,0
5893,27
5239,16
17797,27
22052,28
21769,27
25189,16
4322,0
21210,
7631,11
21024,19
24121,1
26425,11 15 27
23616,1 35
8458,
25522,8
237,21
6371,1
7076,0 35
3391,1
24355,
26284,27 40
5848,19
13535,20
9118,19
2648,0
12765,20
21110,27 28
26389,
17296,
26744,
22776,2 3
23618,0
611,0 2
21028,28
24128,3 4
11223,12 27
26658,18 19
22283,2 3
21650,12 36
11453,0
9146,28
19851,28
26185,27
21683,28
26783,42
18850,19 20
23628,
2823,19
23097,30
19468,12 23
9016,19
19406,30
20733,27
18614,12 30
16758,2 3
2793,0 30
26961,
19527,2 3
21134,12 28 36
21540,21
21342,0
14582,0
25034,12
20815,2
675,5
4888,1 2 4
7190,3 12
13391,5 30
7501,0 4
24958,
20079,2 30
19893,2
20463,1 2
23468,3
18535,19
3179,12
4526,18
24376,8 10
17927,5
19013,28
13691,30
8868,2 11 30
15391,16 28 33
15357,0
25566,0 27
23437,0 2
23779,0 35
17434,3
1114,1 2
24847,8
8650,
10299,27
20958,48
2322,2 12
26529,27
576,18
24443,0
22980,2 3
21690,28
16147,15 30
19867,0 27 30
22422,19
24895,
11597,12
6878,12
9009,0
23729,0
23606,2 4
23987,
5765,1 35
23695,3 11
20931,0
15946,8 10
10751,0
20565,2
21323,18
11745,3 16 30
6605,0
20786,47
20869,12
10127,19
16996,18
6389,18
11592,19
25712,27
26555,12
17712,19 20
18131,19
20358,12 28
20524,16
23037,2 4
3735,0
16906,2 12 27
20723,0 30
4413,19 20
2007,
2115,12
23736,0
25224,12
5209,0
24771,0 12 36
2729,1 12
8427,11
23474,1
25193,8
11937,2 30
21819,27 30 39 49
15326,0 30
15467,28
25161,1 12
24012,1 2 36
20874,18
23370,18
25507,12
8178,0
10057,12
22793,19
23355,0 2
8970,20
20433,2
23972,
4065,12
2254,42
5599,27
647,12 28
21285,29
20634,
13713,
582,12 28 36
25480,12 36
8282,44
7938,0
25504,12
19970,11 12
21664,10 28
21750,1 2 27
15337,19
6892,27 28 29
19682,29
19817,3 37
21191,18
22760,3
26541,15 40
16283,27
304,20
18495,19
23851,2
14307,1
6673,18
11825,28
25970,20
11328,12 23
20028,12 28
411,
26357,11
10651,0 2
8869,18
23272,2
22862,
21462,2 8
10882,
6433,27
8889,
21949,28 30
2693,11 28
2512,19
24488,30
4174,27 40
4499,12
11927,19
14772,2
16007,2
1017,1 12
7238,0
10345,0 2 35
4511,0 28
17572,8
9075,12
19232,0 3 30
21708,23 28
964,3 28
13345,3
23815,0
21451,19 20
20397,1
17431,0 8
7104,2
19910,3
4043,18
25660,27
21431,20
10364,21
10320,2 3 28
25496,12 42
21676,27 28
844,28
23225,
5862,12
25299,12
20657,14
10182,1
24729,0 2
20685,28
25081,12
1524,1
5161,12
17724,12
22124,3
25669,1 27
11410,0 30 37
23138,2
23595,2
20696,19
5448,4 5
22707,3
26930,30
23054,5 30
5770,19
22077,28
25472,18
22136,18
3629,14
22270,2 28
10226,2 4
19455,2
22579,12
9434,28
19626,40
23590,
24248,2
21139,23 28 36
10681,36
18172,3
16500,27 28
24691,20
8258,0 28
26437,27
710,6 19
24332,0
24487,
25915,
21922,28 36
25240,29
22393,3 28
9798,3
24751,0 12
25692,1 27
25481,12 36
205,7
14998,
24090,3
23072,
7934,2
13598,12
22609,11
19265,1
8755,5 12
9052,6
6286,0 2 36
21461,27 30
22369,0
23715,0
25968,0
24275,16
22363,18
24791,0
3364,0
10208,12 28
23414,2 4 30
26054,11
9791,20
18155,2 3
25145,0
17681,16
14230,3 15
19448,2 3
26061,11 27
11336,27
10964,2
21183,23 28 43
26101,23
23639,14 27
24351,1
22916,16
24350,0
21189,28
25875,11
21858,28
22513,0 2 30
21427,12 41
25229,14 27
1370,0 2
26683,
25918,27
24122,2 4
5446,18
25874,11 27
20096,2 4
26335,11 27
14343,30
21330,12
3989,8 10
20348,0
10627,28 36
25810,2 27
10329,27
17222,0
4524,0 2
4124,12 27
516,8 10
23974,10
25144,1 27
26119,2 36
2673,0 15
11270,2
12722,11 27
23538,0
9711,30
24133,0 35
24514,0
21856,0
18875,19 30
6042,
21098,18
20992,0
21921,18
14970,18 43
20957,10
15952,0
25674,36
11816,0 2
13346,27 28
617,28
26084,27
20982,0 35
10032,
24340,2 4 5
22884,0 37
22251,0
19257,19
4833,3
22617,1
24011,1
13951,27
18402,18
7273,13
23051,30 49
9956,16 38
16497,36
25149,0
12603,22
16566,12
25795,27 40
7870,19
9401,8
8065,26 30
6515,1 2
803,19
17428,3
7281,38
16420,19
15115,2
23584,1 35
17124,0
22654,14 16 31
7177,18
484,
11327,1
5755,
20683,10
10614,2
21059,3 28
169,2 4
25275,10
1080,0 2 3
12882,12
15595,12
6702,2
26983,11
22969,30
20991,
24267,14
8044,3 12
21201,12
23488,0 4
23807,1 2 36
22332,2
26380,11
6285,28
21709,27
20789,42
24373,16 38
25681,27
2886,42
19475,2 11
2620,13 31
22495,21
13790,1 2
23797,
23975,1
8097,16
22078,28
20535,2 3
14352,
17092,12 27
11974,2 30
7015,2 4
25119,
24291,6
21374,2
22412,
22500,0 27
24430,19
20641,28
16410,30
9178,1
23998,2 4
6365,0
26674,12
12314,
21639,
17354,12
25292,12 23
24417,45
15703,28
20502,3
23213,0 30
2487,19
21993,19
2658,
23165,0 2 16
26878,26
14762,18
681,3 27 30
10360,2
23127,30
7887,0
21928,18
4489,3 30
26774,
1432,3
22701,16
25097,23 26
11686,2 3
27037,18
23737,3
21739,28
25159,12
21155,28
25158,0 2 12
8080,4 5
1576,27 29
25931,19
14261,
22487,0 12 27 30
8463,1 2
26369,27
20135,2
17417,3
24621,12
25383,12
10929,3 12 30
15006,27
17319,5
22480,0
23557,
9101,0 1
12749,44
1013,27
26149,30
20917,0 28
9315,2 4
26415,27
2,27
23537,1 2
18707,21
23730,1 2
24975,12
14043,28
23392,0
9138,1
7811,2
4112,12
24985,48
12484,2
21121,12
10597,39
4859,1 30
25900,2
24595,2 27
22258,1
16248,1 2
25185,19
32,16 33
11978,12 28 43
16276,16 38
13901,0
23481,1 2
3788,30
22013,0
3830,18
25855,12 27
23709,1
12539,
24858,3 12
3624,1 8
20530,0 2
22628,2 16
26257,14 27
17333,18
24532,19
17091,1 12
3240,2 3
26861,30
4560,14
20955,8
20151,12
305,0 2 12
11369,1 2 12 36
26874,2 30
8365,
26099,27
24183,4 5
10584,12
4966,
24378,
5451,21
20684,42
3966,18
23105,19
22328,0
18811,8
7466,12
9644,10
24831,1 12
25696,27
301,20
23801,2 36
25191,2
24079,0 4
13361,0
23092,0 2 4
15530,0
24588,16
21807,28
19139,27 30
5616,2
22718,0 12
601,19
21467,12
21321,28
10959,30
10309,16 33
25428,12
5778,0 2
21474,19
24826,44
9552,28
5685,2
21449,14
9799,2
23064,0 2 14
9566,0 12
20293,0 8
2631,20
20586,0
25329,18
23770,3
23480,0
24872,8 10
4541,16 28 33
26990,30 39
26429,27
23981,0 28
25530,12 36
13513,19
21304,18
23015,0 30
3604,12 27
4952,41 42
7855,30
21651,16
23789,2
21965,18
5339,28
22743,
1655,19
23592,16 33
23467,0 3
21088,3 30 37
14857,2 11 14
14394,28
25524,12
22101,20
24655,10
17824,8 10
357,12 28
24152,0 35
7825,
15184,2
2237,3 12
25754,0 2 30
21725,27
26952,30
19826,2 30
22546,12
21291,12 28
22814,
3137,28 30
24627,12 28
6669,14
25102,47
26612,0
6027,20
8343,12 28
21809,28
4565,0 2
20080,
11429,0 2
1413,1 2
893,0
23956,
23489,0
198,3 13 16
21656,12
13991,
22485,2
11085,5 12 36
2162,3
25547,27
26876,
13899,2
22898,0 1
11883,1
6809,2
4868,27
8479,18
23761,2
12367,18
1867,
21523,19
23556,0 2
8960,19 20
26238,11
6030,0 27
8705,2
564,23
5815,
7478,2 4
15528,0 2 35
25421,12
9475,0
20491,35
328,3
7520,0 2
1638,0 30 35
16148,12
3217,
24533,42
19593,
24669,18
24366,42
10114,
26373,11
19799,27
23527,0
25259,12
22479,8
12516,2
20073,28
23007,2
18329,3 30
12854,18
693,12
11253,27 28
7792,0
6813,
17901,12
5713,2 28
866,27 43
18549,1 27
18196,27
25560,7
21735,28 30
2873,19
20518,2
25733,30
23231,2
24916,
23516,16 33
20763,28
15983,19
25230,11 15
315,8
24085,2
9423,2 36
9343,12
24547,18
1534,
17487,21
26794,19
22001,12 28
9195,12
20579,0
15416,8
18463,0
22155,47
663,7
26552,
17940,16
24850,18
5356,3
14405,3
6966,27
25667,
10853,12
21761,27
